File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jaadugar (2022).mkv,Jaadugar (2022),1.28,.mkv,13793230,Jaadugar,2022,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jaanam.Samjha.Karo.1999.mkv,Jaanam_Samjha_Karo_1999,1.45,.mkv,0226847,Jaanam Samjha Karo,1999,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jaane Bhi Do Yaaro.mp4,Jaane Bhi Do Yaaro,0.69,.mp4,0085743,Jaane Bhi Do Yaaro,1983,"['Comedy', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jaanisaar.2015.mp4,Jaanisaar_2015,2.6,.mp4,3826186,Jaanisaar,2015,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jaan_E_Mann.mp4,Jaan_E_Mann,1.63,.mp4,0456481,Jaan-E-Mann: Lets Fall in Love Again,2006,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jab Harry Met Sejal 2017.mkv,Jab Harry Met Sejal 2017,1.1,.mkv,5997666,Jab Harry Met Sejal,2017,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jab Pyaar Kisisi Hota Hai.mp4,Jab Pyaar Kisisi Hota Hai,1.3,.mp4,0274019,Pyaar Diwana Hota Hai,2002,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jab Tak Hai Jaan 2012.mp4,Jab Tak Hai Jaan 2012,1.3,.mp4,2176013,Jab Tak Hai Jaan,2012,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jail.mp4,Jail,1.58,.mp4,1128727,Jail,2007,['Reality-TV'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jai_Gangaajal_2016.mkv,Jai_Gangaajal_2016,1.34,.mkv,0373856,Gangaajal,2003,"['Action', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jalsa (2022).mkv,Jalsa (2022),1.11,.mkv,15361028,Jalsa,2022,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jannat  2008.mp4,Jannat 2008,1.45,.mp4,1216300,Jannat: In Search of Heaven...,2008,"['Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jannat.2.2012.mkv,Jannat_2_2012,0.83,.mkv,2319889,Jannat 2,2012,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jatt & Juliet 2 (2013).mkv,Jatt & Juliet 2 (2013),0.97,.mkv,2673882,Jatt & Juliet 2,2013,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jawaan_2017.mp4,Jawaan_2017,1.37,.mp4,2178470,Yeh Jawaani Hai Deewani,2013,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jawani_Diwani.mkv,Jawani_Diwani,1.01,.mkv,2178470,Yeh Jawaani Hai Deewani,2013,"['Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jayantabhai.Ki.Luv.Story.2013.mkv,Jayantabhai_Ki_Luv_Story_2013,0.92,.mkv,2622130,Jayantabhai Ki Luv Story,2013,"['Action', 'Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jayeshbhai_Jordaar_2022.mkv,Jayeshbhai_Jordaar_2022,1.95,.mkv,10393870,Jayeshbhai Jordaar,2022,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jeeva.mp4,Jeeva,0.51,.mp4,4047112,Jeeva,2014,"['Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jeevan Mrityu.mp4,Jeevan Mrityu,0.75,.mp4,0156641,Jeevan Mrityu,1970,"['Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jersey (720P) .mkv,Jersey (720P),0.76,.mkv,0300051,Jersey Girl,2004,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jhuk Gaya Aasman.mp4,Jhuk Gaya Aasman,0.73,.mp4,0290685,The Skies Have Bowed,1968,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jhumroo.mp4,Jhumroo,1.73,.mp4,0130803,Jhumroo,1961,"['Comedy', 'Drama', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jhund (2022).mkv,Jhund (2022),1.37,.mkv,8983228,Jhund,2022,"['Biography', 'Drama', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jigsaw (2017).mkv,Jigsaw (2017),0.71,.mkv,3348730,Jigsaw,2017,"['Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\JISM.mp4,Jism,0.55,.mp4,0348843,Jism,2003,"['Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jodha Akbar 2008.mp4,Jodha Akbar 2008,1.86,.mp4,0449994,Jodhaa Akbar,2008,"['Action', 'Drama', 'History', 'Romance', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jodi No.1 (2001).mp4,Jodi No_1 (2001),1.14,.mp4,0278522,Jodi No. 1,2001,"['Comedy', 'Crime', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\John Day {2013}.mp4,John Day {2013},0.92,.mp4,2699840,John Day,2013,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Johnny Gaddaar (2007).mkv,Johnny Gaddaar (2007),0.94,.mkv,1077248,Johnny Gaddaar,2007,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jolly.Llb.2.2017.mkv,Jolly_Llb_2_2017,1.11,.mkv,2621000,Jolly LLB,2013,"['Comedy', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Journey Of Bhangover (2017).mkv,Journey Of Bhangover (2017),0.7,.mkv,7598180,Bhangover,2017,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jo_Jeeta_Wohi_Sikandar.webm,Jo_Jeeta_Wohi_Sikandar,0.84,.webm,0104561,Jo Jeeta Wohi Sikandar,1992,"['Comedy', 'Drama', 'Romance', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Judgementall.Hai.Kya.2019.mkv,Judgementall_Hai_Kya_2019,1.26,.mkv,8108196,Judgementall Hai Kya,2019,"['Comedy', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Judwaa.1997.mkv,Judwaa_1997,2.82,.mkv,5456546,Judwaa 2,2017,"['Action', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Judwaa.2.2017.mkv,Judwaa_2_2017,3.0,.mkv,5456546,Judwaa 2,2017,"['Action', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\JugJugg_Jeeyo_2022.mkv,Jugjugg_Jeeyo_2022,2.0,.mkv,13449624,Jug Jugg Jeeyo,2022,"['Comedy', 'Drama', 'Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Julayi [2012].mkv,Julayi [2012],0.68,.mkv,2330927,Julayi,2012,"['Action', 'Comedy', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jungle.2017.mkv,Jungle_2017,0.93,.mkv,3758172,Jungle,2017,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Justice Chaudhury 1983.mkv,Justice Chaudhury 1983,1.21,.mkv,0187193,Justice Chaudhury,1983,"['Drama', 'Action', 'Comedy', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet J\Jwar Bhata-1973.mp4,Jwar Bhata-1973,0.92,.mp4,0357819,Jwar Bhata,1973,"['Drama', 'Family']",Bollywood
