Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ghoomer,2023,"Drama, Sport",R. Balki,Nothing from IMDB,"Amitabh Bachchan, Saiyami Kher, Abhishek Bachchan, Shabana Azmi, Ivanka Das, Angad Bedi, Shivendra Singh Dungarpur, Akshay Joshi, Piyush Raina, Pari Sharma","Anina, a young woman batting prodigy, loses her right hand in an unfortunate accident on the eve of her international cricketing debut. An unsympathetic, failed, and frustrated cricketer enters her life, gives her a new dream, and transforms her fate with the most innovative training, making her play for the Indian cricket team again, but this time as a bowler. Ghoomer is the new style of bowling they invent to bamboozle the opposition.",['135'],India,Hindi,,7.7,20913276
Gran Turismo,2023,"Action, Adventure, Drama, Sport",Neill Blomkamp,Nothing from IMDB,"David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira, Darren Barnet, Geri Horner, Djimon Hounsou, Josha Stradowski, Daniel Puig, Maeve Courtier-Lilley","Jann is an avid gamer from Cardiff who spends his days playing Gran Turismo, refusing to succeed in the real world. Meanwhile, in Tokyo, Danny, a marketing manager for the Nissan automobile corporation, is running an advertising campaign and, together with the management of Gran Turismo, hatches a plan to launch a competition inviting gamers to try their luck in real racing cars. Needing help organizing an event, Danny turns to Jack, a former racing driver and incorrigible cynic. When fate brings Jann together with Danny and Jack, the gamer becomes the driver of a Nissan racing car, plunging headlong into the fight for a place in the sun in the competitive world of real racing.",['134'],"United States, Japan",English,,7.2,4495098
Haddi,2023,"Crime, Drama",Akshat Ajay Sharma,Nothing from IMDB,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Ivanka Das, Ila Arun, Vipin Sharma, Saurabh Sachdeva, Rajesh Kumar, Shriidhar Dubey, Saharsh Kumar Shukla",,['134'],India,Hindi,,5.7,22188452
Hands of Stone,2016,"Biography, Drama, Sport",Jonathan Jakubowicz,Jonathan Jakubowicz,"Edgar Ramírez, Robert De Niro, Usher, Rubén Blades, Ana de Armas, Pedro Perez, Óscar Jaenada, John Turturro, Ellen Barkin, Jurnee Smollett","Follows the life of Roberto Duran, who made his professional debut in 1968 as a 16-year-old and retired in 2002 at age 50. In June 1980, he defeated Sugar Ray Leonard to capture the WBC welterweight title but shocked the boxing world by returning to his corner in the November rematch, saying 'no mas' (no more).",['111'],"Panama, United States","English, Spanish",,6.6,1781827
Heart of Stone,2023,"Action, Crime, Thriller",Tom Harper,Nothing from IMDB,"Jing Lusi, Jamie Dornan, Paul Ready, Gal Gadot, Enzo Cilenti, Joe Reisig, Luca Fiamenghi, Alia Bhatt, Matthias Schweighöfer, Thomas Arnold","Rachel Stone is a charter agent cum technician who works along with a team of MI 6 field agents. The mission is to locate the ""heart"" an AI enabled computer which has the capability of hacking into any software and could cause considerable havoc should it fall into the wrong hands. Keya, a young woman is an Indian computer specialist who is attached to another syndicate. Circumstances bring Rachel and Keya together and they realize that they have a common mission. They then team up to prevent the ""heart"" from falling in the wrong hands.",['122'],United States,English,,5.7,13603966
Hum Dil De Chuke Sanam,1999,"Comedy, Drama, Musical, Romance",Sanjay Leela Bhansali,Nothing from IMDB,"Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal, Vikram Gokhale, Smita Jaykar, Rekha Rao, Rajeev Verma, Kenneth Desai, Ghanshyam Nayak","When Sameer asks for Nandini's hand in marriage, her family refuses, having already chosen a husband for her. Sameer returns to Italy. When Vanraj, Nandini's husband, realizes that his new bride has been in love with someone else, he is prepared to sacrifice his love for her and take her to Italy to be reunited with her true love, Sameer.",['188'],"India, Hungary",Hindi,,7.4,150992
Inglourious Basterds,2009,"Adventure, Drama, War",Quentin Tarantino,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido","In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history.",['153'],"Germany, United States","English, German, French, Italian",,8.4,361748
Jaadugar,1989,"Comedy, Fantasy",Prakash Mehra,Nothing from IMDB,"Amitabh Bachchan, Jaya Prada, Amrita Singh, Pran Sikand, Amrish Puri, Aditya Pancholi, Raza Murad, Vikas Anand, Harbans Darshan M. Arora, Bharat Bhushan","After learning a few magical tricks from his fellow inmate former businessman and ex-jail convict assume the identity of an ascetic named Mahaprabhu Jagatsagar Chintamani so that he can easily use these tricks to con the villagers of Dharampur with a motive of acquiring their wealth for himself. His U.S. returned son, Shankar Narayan refuses to accept this way of living only to consult an expert magician named Goga to put an end to his father's misdeeds. Goga who later changes his name to Gogeshwar manages to outwit Mahaprabhu and take control of his ashram. Feeling satisfy after his deeds has been reached; Shankar then asks Goga to leave but a stubborn will-power Goga refuses to do so as he plans to explain his stubbornness to Shankar at a later date.",['173'],India,Hindi,,4.2,97609
Jaan,1996,"Action, Drama, Romance",Raj Kanwar,Nothing from IMDB,"Ajay Devgn, Twinkle Khanna, Amrish Puri, Rakhee Gulzar, Vivek Mushran, Suresh Oberoi, Shakti Kapoor, Bindu Desai, Saeed Jaffrey, Aruna Irani","Police Commissioner Suryadev Singh is a doting grandfather to his only granddaughter, Kajal. However, unbeknownst to Suryadev, Kajal's life is under threat from his embittered cousin, Vishamber. Vishamber's father had bequeathed his entire estate to his nephew Suryadev instead of Vishamber. Now Vishamber wants to kill Kajal, thus becoming the sole heir to the inheritance. Some goons attempt to kidnap Kajal but a bystander, Karan, fights them off and rescues her. Impressed, Suryadev appoints him as Kajal's bodyguard and they both leave for the town of Sundernagar, which is their ancestral home. However, Suryadev does not know that the kidnapping as well as Karan's rescue of Kajal were staged in order to win Suryadev's trust and that Karan is in fact an assassin hired by Vishamber to kill Kajal.",['170'],India,Hindi,,4.2,151090
Jaane Jaan,2023,"Crime, Drama, Mystery, Thriller",Sujoy Ghosh,Nothing from IMDB,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva, Naisha Khanna, Karma Takapa, Lin Laishram, Denjam Lepcha, Ujjwal Chopra, Shyam Gopal",,['139'],India,Hindi,,7.0,15748830
Jailer,2023,"Action, Comedy, Crime, Thriller",Nelson Dilipkumar,Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff, Ramya Krishnan, Vinayakan, Tamannaah Bhatia, Sunil, Vasanth Ravi, Yogi Babu","Muthuvel Pandian is a retired jailer living happily with his wife, son, daughter-in-law and grandson. His son who is an Assistant Commissioner of police goes missing while investigating the case of missing temple idols and is presumed dead. The story is about how Muthuvel Pandian goes toe to toe against Varma, the mastermind behind large-scale smuggling of temple idols and treasures, and avenges his son.",['168'],India,"Tamil, Malayalam, Hindi, Telugu, Kannada",,7.1,11663228
Jawan,2023,"Action, Thriller",Atlee,Nothing from IMDB,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone, Sanjay Dutt, Priyamani, Sanya Malhotra, Girija Oak, Lehar Khan, Sanjeeta Bhattacharya","Driven by a desire to rectify societal wrongs, Vikram embarks on a mission to obliterate Kalee and presents the government with a set of demands, setting the stage for an electrifying and high-stakes showdown. The film delivers a strong social message about issues like the corrupt political system, challenges faced by farmers, and flaws in the healthcare system. It emphasizes the power of the index finger during elections as a means for citizens to actively participate in shaping the destiny of their country.",['169'],India,Hindi,,7.0,15354916
Jigsaw,2017,"Horror, Mystery, Thriller","Michael Spierig, Peter Spierig","Josh Stolberg, Pete Goldfinger","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson, Clé Bennett, Laura Vandervoort, Paul Braunstein, Mandela Van Peebles, Brittany Allen, Josiah Black","It has been over a decade since Jigsaw died. However, after a new series of murders occurs, police find themselves chasing after the original Jigsaw Killer - John Kramer. Could John Kramer still be alive or is another killer out there with a different motive?",['92'],"United States, Canada",English,,5.7,3348730
